City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,Sur,22.5667,59.5289,72.45,67,5,1.61,OM,2022-02-01 21:19:00
175,Tasiilaq,65.6145,-37.6368,12.36,71,96,6.35,GL,2022-02-01 21:19:01
176,Mount Gambier,-37.8333,140.7667,55.99,54,50,7.18,AU,2022-02-01 21:19:01
177,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,20,5.75,CA,2022-02-01 21:19:02
178,Husavik,66.0449,-17.3389,4.91,82,33,13.98,IS,2022-02-01 21:19:02
179,Garmsar,35.2182,52.3409,38.88,67,2,1.86,IR,2022-02-01 21:19:03
180,Chicama,-7.8447,-79.1469,66.74,57,53,12.3,PE,2022-02-01 21:19:04
181,Sisimiut,66.9395,-53.6735,8.91,88,100,8.63,GL,2022-02-01 21:20:04
182,Dongsheng,39.8161,109.9776,10.29,36,0,6.49,CN,2022-02-01 21:20:05
183,Longyearbyen,78.2186,15.6401,22.84,58,75,4.61,SJ,2022-02-01 21:20:05
184,Alice Springs,-23.7,133.8833,71.15,100,100,8.05,AU,2022-02-01 21:15:52
185,Marzuq,14.4,46.4667,63.43,78,53,4.56,YE,2022-02-01 21:20:06
186,Tocopilla,-22.092,-70.1979,70.63,65,20,7.36,CL,2022-02-01 21:20:07
187,Astoria,46.1879,-123.8313,45.95,89,92,1.01,US,2022-02-01 21:15:37
188,Moerai,-22.4333,-151.3333,80.24,74,47,17.92,PF,2022-02-01 21:20:08
189,Cuddapah,14.4667,78.8167,69.21,82,6,4.03,IN,2022-02-01 21:20:08
190,Severo-Kurilsk,50.6789,156.125,26.85,79,78,10.54,RU,2022-02-01 21:20:09
191,Nanortalik,60.1432,-45.2371,8.8,77,10,11.61,GL,2022-02-01 21:20:09
192,Ust-Kuyga,70.0167,135.6,-14.19,92,100,3.47,RU,2022-02-01 21:20:10
193,Xining,36.6167,101.7667,11.66,73,92,2.55,CN,2022-02-01 21:20:10
194,Kourou,5.1552,-52.6478,73.45,86,98,11.56,GF,2022-02-01 21:20:11
195,Saint-Francois,46.4154,3.9054,44.04,94,100,4.61,FR,2022-02-01 21:20:12
196,Hauterive,46.0901,3.4459,45.36,98,100,6.17,FR,2022-02-01 21:20:12
197,Zhumadian,32.9794,114.0294,33.03,44,100,2.28,CN,2022-02-01 21:20:13
198,Jishou,28.3167,109.7167,34.65,98,100,0.94,CN,2022-02-01 21:20:13
199,Tanda,26.55,82.65,52.48,77,0,5.17,IN,2022-02-01 21:20:14
200,Broken Hill,-31.95,141.4333,58.71,56,100,23.44,AU,2022-02-01 21:20:14
201,Businga,3.3333,20.8833,78.62,27,80,2.55,CD,2022-02-01 21:20:15
202,West Bay,19.3667,-81.4167,81.07,77,20,3.0,KY,2022-02-01 21:20:16
203,Voznesenskaya,44.5527,41.0318,33.08,85,100,6.38,RU,2022-02-01 21:20:16
204,Port Elizabeth,-33.918,25.5701,77.29,78,0,2.3,ZA,2022-02-01 21:20:17
205,Ponta Do Sol,32.6667,-17.1,67.01,72,48,11.81,PT,2022-02-01 21:20:17
206,Port Lincoln,-34.7333,135.8667,60.91,55,68,17.13,AU,2022-02-01 21:20:18
207,Bandarbeyla,9.4942,50.8122,76.08,76,54,15.64,SO,2022-02-01 21:20:18
208,Lebu,-37.6167,-73.65,64.31,76,0,12.35,CL,2022-02-01 21:20:19
209,Ipixuna,-1.7625,-48.8043,78.75,94,59,3.94,BR,2022-02-01 21:20:19
210,Williams Lake,52.1415,-122.1445,15.37,70,40,4.0,CA,2022-02-01 21:20:20
